actor_id,actor_name,gender,gender_label
116004,Anna Bolshova,0,Unknown
195535,Anna Bolt,0,Unknown
10731,Anna Chancellor,1,Female
34612,Anna Chlumsky,1,Female
1356402,Anna Claire Sneed,0,Unknown
212702,Anna Clark,0,Unknown
118593,Anna Colwell,0,Unknown
63279,Anna Deavere Smith,1,Female
1772,Anna Faris,1,Female
586953,Anna Foglietta,1,Female
58016,Anna Friel,1,Female
1272162,Anna Gurji,1,Female
486603,Anna Hutchison,1,Female
122422,Anna Kalaitzidou,0,Unknown
84223,Anna Kendrick,1,Female
115335,Anna Kuchma,1,Female
3711,Anna Levine,1,Female
78565,Anna Linarello,0,Unknown
28361,Anna Loos,1,Female
54800,Anna Maria Horsford,1,Female
133328,Anna Maria Perez de Tagle,0,Unknown
8227,Anna Massey,1,Female
29236,Anna Maxwell Martin,1,Female
115910,Anna Nakagawa,0,Unknown
10690,Anna Paquin,1,Female
5529,Anna Popplewell,1,Female
10599,Anna Quayle,0,Unknown
1493242,Anna Rose Hopkins,0,Unknown
38371,Anna Thalbach,1,Female
73954,Anna Vareschi,0,Unknown
221553,Anna Walton,1,Female
213044,Anna Wood,1,Female
114550,Anna-Katharina Schwabroh,0,Unknown
82662,AnnaLynne McCord,1,Female
1285,AnnaSophia Robb,1,Female
53715,Annabel Kershaw,0,Unknown
18750,Annabella Sciorra,1,Female
82809,Annabelle Wallis,1,Female
49425,Annabeth Gish,1,Female
1233885,Annalee Jefferies,1,Female
1024722,Annalise Basso,1,Female
10427,Anne Archer,1,Female
10774,Anne Bancroft,1,Female
7276,Anne Consigny,1,Female
24198,Anne Dudek,1,Female
11718,Anne Haney,1,Female
1813,Anne Hathaway,1,Female
8256,Anne Heche,1,Female
10412,Anne Jackson,1,Female
47777,Anne Kent,0,Unknown
6122,Anne Louise Hassing,0,Unknown
3077,Anne Marie Timoney,0,Unknown
32394,Anne Meara,1,Female
25023,Anne Ramsay,1,Female
77287,Anne Reid,1,Female
7641,Anne Revere,1,Female
6550,Anne Suarez,1,Female
43662,Anne Suzuki,1,Female
37058,Anne-Marie Duff,1,Female
147632,Annedore Kleist,1,Female
43716,Anneke Blok,0,Unknown
1390487,Annelyse Ahmad,0,Unknown
1257563,Annet Mahendru,0,Unknown
516,Annette Bening,1,Female
127265,Annette Robertson,0,Unknown
